candidate_id,skills,qualification,experience_level,job_role
81,"Swift, iOS Development, UI/UX, Core Data",Bachelor's in Computer Science,Entry,Mobile Developer
82,"C#, Storytelling, Balancing, Prototyping, Game Design",Bachelor's in Game Development,Entry,Video Game Designer
83,"Storytelling, Game Design, Player Psychology, Balancing, 3D Modeling, Prototyping",Bachelor's in Game Development,Entry,Video Game Designer
84,"JavaScript, Symfony, CodeIgniter, WordPress, PHP, MySQL",Bachelor's in Information Technology,Mid,PHP Developer
85,"Agile, JIRA, Stakeholder Management",Master's in Business Administration,Mid,Software Project Manager
86,"HTML, PHP, Express, JavaScript, CSS, REST APIs, Git",Bachelor's in Computer Science,Entry,Web Developer
87,"Java, Spring, SQL, Microservices",Bachelor's in Software Engineering,Senior,Backend Developer
88,"Python, Machine Learning, R",Master's in Data Science,Senior,Data Scientist
89,"Figma, UI/UX Design, Adobe XD",Bachelor's in Design,Mid,Designer
90,"Java, AWS, JavaScript, Angular, Spring Boot",Master's in Software Engineering,Senior,Full Stack Java Developer
91,"Swift, iOS, Xcode, UI/UX",Bachelor's in Computer Science,Entry,Mobile Developer
92,"React, JavaScript, HTML, CSS, Redux",Bachelor's in Computer Science,Mid,Frontend Developer
93,"Reporting, Excel, SQL",Bachelor's in Computer Science,Entry,Data Analyst
94,"Blockchain, Web3, Solidity, Smart Contracts",Bachelor's in Computer Science,Mid,Blockchain Developer
95,"Training, HR Policies, Recruitment, Conflict Resolution, Employee Relations",Master's in Human Resources,Senior,HR
96,"Unity, Game Design, Prototyping, Storytelling, 3D Modeling",Bachelor's in Game Development,Mid,Video Game Designer
97,"Django, JavaScript, SQL, Python, Git, PostgreSQL",Master's in Computer Science,Mid,Full Stack Python Developer
98,"Prometheus, GCP, CI/CD, Linux, Terraform, Kubernetes, Docker",Bachelor's in Computer Science,Mid,Kubernetes Operations Engineer
99,"C++, Unreal Engine, Unity, VR Development, Game Design, 3D Modeling",Bachelor's in Game Development,Mid,Game Developer
100,"Python, R, SQL, Machine Learning",Master's in Data Science,Senior,Data Scientist
101,"Python, Django, PostgreSQL, JavaScript",Bachelor's in Computer Science,Mid,Full Stack Python Developer
102,"Communication, JIRA, Project Management, Agile, Leadership, Scrum",Master's in Business Administration,Mid,Software Project Manager
103,"Data Visualization, SQL, R, Python, Machine Learning",Bachelor's in Computer Science,Entry,Data Scientist
104,"AWS, Jenkins, Docker, Terraform",Bachelor's in Computer Science,Senior,DevOps Engineer
105,"TensorFlow, Research, Python, Deep Learning, Reinforcement Learning, Computer Vision",PhD in Artificial Intelligence,Senior,AIML
106,"JavaScript, Git, Java, Spring Boot",Master's in Software Engineering,Senior,Full Stack Java Developer
107,"Employee Relations, HR Policies, Recruitment, Conflict Resolution, Payroll",Master's in Human Resources,Senior,HR
108,"Unreal Engine, Shader Programming, Game Physics, C++, Game Design, 3D Modeling",Bachelor's in Game Development,Senior,Game Developer
109,"Python, TensorFlow, Keras, NLP",Master's in Data Science,Mid,Data Scientist
110,"Kubernetes, Helm, AWS, Docker",Bachelor's in Computer Science,Senior,Kubernetes Operations Engineer
111,"Python, TensorFlow, NLP, Deep Learning",PhD in Artificial Intelligence,Senior,AIML
112,"C#, ASP.NET, SQL Server, Azure",Bachelor's in Computer Science,Mid,C# Developer
113,"Git, MongoDB, Node.js, WordPress, HTML, JavaScript, CSS",Bachelor's in Computer Science,Entry,Web Developer
114,"Agile, Scrum, Project Management, Leadership",Master's in Business Administration,Mid,Software Project Manager
115,"Digital Marketing, SEO, PPC, Analytics",Bachelor's in Marketing,Mid,Marketing
116,"Marketing Strategy, Communication, Analytics, SEO",Bachelor's in Marketing,Mid,Marketing
117,"Kafka, SQL, Java, Microservices",Bachelor's in Software Engineering,Senior,Backend Developer
118,"Analytics, Marketing Strategy, Branding, Social Media",Bachelor's in Marketing,Senior,Marketing
119,"Analytics, Employee Relations, Recruitment, HR Policies",Master's in Human Resources,Mid,HR
120,"Kubernetes, Helm, AWS, Docker",Bachelor's in Computer Science,Senior,Kubernetes Operations Engineer
121,"Penetration Testing, Network Security, SIEM, Firewalls",Master's in Cybersecurity,Senior,Cybersecurity Engineer
122,"Java, Spring Boot, Angular, AWS",Master's in Software Engineering,Senior,Full Stack Java Developer
123,"Agile, Flask, React, REST APIs, Django, JavaScript, Python",Master's in Computer Science,Mid,Full Stack Python Developer
124,"Python, TensorFlow, Keras, NLP",Master's in Data Science,Mid,Data Scientist
125,"React Native, Flutter, Mobile Development",Bachelor's in Computer Science,Senior,Mobile Developer
126,"SQL, Statistics, R, Python, Machine Learning",Bachelor's in Computer Science,Entry,Data Scientist
127,"Java, Kotlin, Android Development, REST APIs",Bachelor's in Software Engineering,Mid,Mobile Developer
128,"JavaScript, Node.js, Express, MongoDB",Bachelor's in Information Technology,Entry,Web Developer
129,"Kubernetes, Docker, AWS, CI/CD, Linux",Bachelor's in Computer Science,Senior,DevOps Engineer
130,"HR Policies, Project Management, Agile, Stakeholder Management",Bachelor's in Computer Science,Senior,Software Project Manager
131,"CSS, Vue.js, Redux, Responsive Design, JavaScript, HTML",Bachelor's in Computer Science,Entry,Frontend Developer
132,"C#, .NET Core, Azure, SQL Server",Bachelor's in Computer Science,Mid,C# Developer
133,"Deep Learning, Computer Vision, Python",Master's in Computer Science,Senior,AIML
134,"Figma, Sketch, UI/UX, Wireframing",Bachelor's in Design,Entry,Designer
135,"Solidity, Python, Blockchain, Web3, JavaScript, Rust",Bachelor's in Computer Science,Senior,Blockchain Developer
136,"Valuation, Risk Analysis, Forecasting, Financial Modeling, Excel",Master's in Finance,Senior,Finance
137,"HR Management, Recruitment, Employee Relations",Master's in Human Resources,Senior,HR
138,"JavaScript, Vue.js, HTML, CSS, Responsive Design",Bachelor's in Information Technology,Mid,Frontend Developer
139,"Marketing Strategy, PPC, Communication",Bachelor's in Marketing,Mid,Marketing
140,"Solidity, Ethereum, Web3, Blockchain",Bachelor's in Computer Science,Senior,Blockchain Developer
141,"PHP, Laravel, MySQL, JavaScript",Bachelor's in Information Technology,Entry,PHP Developer
142,"CSS, JavaScript, MongoDB, HTML, Vue.js",Bachelor's in Information Technology,Mid,Web Developer
143,"Problem Solving, Java, SQL, Microservices, JavaScript, REST APIs",Bachelor's in Software Engineering,Senior,Backend Developer
144,".NET, C#, Azure, .NET Core",Bachelor's in Computer Science,Mid,C# Developer
145,"HR Management, Recruitment, Communication",Master's in Human Resources,Senior,HR
146,"SQL, Git, Docker, Java",Bachelor's in Software Engineering,Senior,Backend Developer
147,"Marketing Campaigns, Social Media, Analytics",Bachelor's in Marketing,Mid,Marketing
148,"Agile, JIRA, Stakeholder Management",Master's in Business Administration,Mid,Software Project Manager
149,"Google Analytics, Marketing Strategy, Communication, Analytics, PPC",Bachelor's in Marketing,Mid,Marketing
150,"Spring, SQL, Java",Bachelor's in Computer Science,Senior,Backend Developer
151,"SQL, SQL Server, Azure, .NET, Blazor, C#, Git",Bachelor's in Computer Science,Mid,C# Developer
152,"Python, R, SQL, Machine Learning",Master's in Data Science,Senior,Data Scientist
153,"Penetration Testing, Firewalls, SIEM",Master's in Cybersecurity,Senior,Cybersecurity Engineer
154,"HTML, CSS, JavaScript, Vue.js",Bachelor's in Information Technology,Mid,Web Developer
155,"Risk Analysis, Excel, Financial Modeling, Financial Reporting",Master's in Finance,Senior,Finance
156,"C++, Unreal Engine, VR Development",Bachelor's in Game Development,Mid,Game Developer
157,"Mobile Development, UI/UX, Git, Android Development",Bachelor's in Software Engineering,Entry,Mobile Developer
158,"C#, .NET, SQL, ASP.NET",Bachelor's in Computer Science,Mid,C# Developer
159,"Kubernetes, Helm, AWS, Docker",Bachelor's in Computer Science,Senior,Kubernetes Operations Engineer
160,"C#, .NET Core, Azure, SQL Server",Bachelor's in Computer Science,Mid,C# Developer
161,"Java, Maven, JavaScript, AWS",Master's in Software Engineering,Senior,Full Stack Java Developer
162,"C++, Unity, Game Design, VR",Bachelor's in Game Development,Mid,Game Developer
163,"Machine Learning, Statistics, Scikit-learn, Python",Master's in Data Science,Mid,Data Scientist
164,"Java, SQL, Kafka",Bachelor's in Software Engineering,Senior,Backend Developer
165,"JavaScript, Java, AWS",Bachelor's in Software Engineering,Mid,Full Stack Java Developer
166,"React, JavaScript, HTML, CSS, Redux",Bachelor's in Computer Science,Mid,Frontend Developer
167,"VR Development, Game Design, C++, Game Physics",Bachelor's in Game Development,Mid,Game Developer
168,"Prometheus, Docker, GCP, Kubernetes",Bachelor's in Computer Science,Mid,Kubernetes Operations Engineer
169,"JavaScript, REST APIs, Git, Hibernate, Maven, Java",Master's in Software Engineering,Mid,Full Stack Java Developer
170,"SQL, Excel, A/B Testing, Power BI",Bachelor's in Computer Science,Mid,Data Analyst
171,"Microservices, SQL, JavaScript, AWS, Angular, Java",Master's in Software Engineering,Mid,Full Stack Java Developer
172,"Swift, iOS Development, UI/UX, Core Data",Bachelor's in Computer Science,Entry,Mobile Developer
173,"Reinforcement Learning, Python, Computer Vision, NLP, SQL, Statistics, Deep Learning",Master's in Computer Science,Senior,AIML
174,".NET, C#, SQL Server, REST APIs, SQL, .NET Core",Bachelor's in Computer Science,Mid,C# Developer
175,"Financial Modeling, Risk Analysis, Excel",Master's in Finance,Senior,Finance
176,"C#, Git, Blazor, .NET, REST APIs",Bachelor's in Computer Science,Mid,C# Developer
177,"Smart Contracts, Rust, Solidity, Git, Blockchain, JavaScript",Bachelor's in Computer Science,Entry,Blockchain Developer
178,"Angular, Java, Git, Microservices, JavaScript, REST APIs",Master's in Software Engineering,Mid,Full Stack Java Developer
179,"AWS, Terraform, Jenkins, Linux",Bachelor's in Computer Science,Senior,DevOps Engineer
180,"Python, PyTorch, NLP, Deep Learning",Master's in Computer Science,Senior,AIML
181,"C#, ASP.NET, SQL Server, Azure",Bachelor's in Computer Science,Mid,C# Developer
182,"Shader Programming, C++, Game Design",Bachelor's in Game Development,Mid,Game Developer
183,"Node.js, WordPress, JavaScript, MongoDB, CSS, HTML, Git",Bachelor's in Computer Science,Mid,Web Developer
184,"Statistics, SQL, Excel, Python, Reporting",Master's in Data Science,Mid,Data Analyst
185,"AWS, Jenkins, Docker, Terraform",Bachelor's in Computer Science,Senior,DevOps Engineer
186,"Game Design, Storytelling, Player Psychology, C#, 3D Modeling",Bachelor's in Game Development,Entry,Video Game Designer
187,"React, Redux, TypeScript, CSS, JavaScript, HTML",Bachelor's in Computer Science,Mid,Frontend Developer
188,"Excel, Analytics, Risk Analysis, Financial Modeling, Communication, Financial Reporting, Forecasting",Bachelor's in Finance,Mid,Finance
189,"Java, Kotlin, Android SDK, REST APIs",Bachelor's in Software Engineering,Mid,Mobile Developer
190,"HR Management, Recruitment, Employee Relations",Master's in Human Resources,Senior,HR
191,"Network Security, Ethical Hacking, SIEM",Master's in Cybersecurity,Senior,Cybersecurity Engineer
192,"Figma, Sketch, UI/UX, Wireframing",Bachelor's in Design,Entry,Designer
193,"C++, Unreal Engine, VR Development",Bachelor's in Game Development,Mid,Game Developer
194,"Agile, JIRA, Stakeholder Management",Master's in Business Administration,Mid,Software Project Manager
195,"SQL, R, Data Visualization, Statistics",Bachelor's in Statistics,Entry,Data Analyst
196,"Figma, UI/UX Design, Communication, Adobe XD, Creativity",Bachelor's in Design,Mid,Designer
197,"C++, Unity, Game Design, VR",Bachelor's in Game Development,Mid,Game Developer
198,"Python, R, SQL, Machine Learning",Master's in Data Science,Senior,Data Scientist
199,"AWS, Jenkins, Docker, Terraform",Bachelor's in Computer Science,Senior,DevOps Engineer
200,"Marketing Campaigns, Social Media, Analytics",Bachelor's in Marketing,Mid,Marketing
201,"Python, Data Visualization, Feature Engineering, Machine Learning",Master's in Data Science,Mid,Data Scientist
202,"Swift, iOS, Xcode, UI/UX",Bachelor's in Computer Science,Entry,Mobile Developer
203,"Network Security, Ethical Hacking, SIEM",Master's in Cybersecurity,Senior,Cybersecurity Engineer
204,"Git, Kubernetes, Docker, CI/CD, Jenkins",Bachelor's in Computer Science,Mid,DevOps Engineer
205,"CSS, PHP, Node.js, JavaScript, HTML, REST APIs",Bachelor's in Computer Science,Entry,Web Developer
206,"Unity, Game Design, Game Physics, Teamwork, VR Development, C++",Bachelor's in Game Development,Senior,Game Developer
207,"Shader Programming, Game Physics, Game Design, C++, Teamwork",Bachelor's in Game Development,Mid,Game Developer
208,"JavaScript, Agile, Python, C#",Bachelor's in Computer Science,Senior,Full Stack Python Developer
209,"Feature Engineering, Machine Learning, Python, Keras",Master's in Data Science,Mid,Data Scientist
210,"Adobe XD, Figma, UI/UX, Prototyping",Bachelor's in Graphic Design,Mid,Designer
211,"Swift, iOS Development, UI/UX, Core Data",Bachelor's in Computer Science,Entry,Mobile Developer
212,"Risk Assessment, Network Security, Communication, Linux",Master's in Cybersecurity,Senior,Cybersecurity Engineer
213,"Kubernetes, Docker, GCP, CI/CD",Bachelor's in Computer Science,Mid,Kubernetes Operations Engineer
214,"Python, Agile, PostgreSQL, JavaScript, Celery",Bachelor's in Computer Science,Mid,Full Stack Python Developer
215,"C++, Unity, Game Design, VR",Bachelor's in Game Development,Mid,Game Developer
216,"Game Design, Player Psychology, Storytelling, Level Design, 3D Modeling",Bachelor's in Game Development,Entry,Video Game Designer
217,"Swift, iOS Development, UI/UX, Core Data",Bachelor's in Computer Science,Entry,Mobile Developer
218,"Communication, Financial Modeling, Financial Reporting, Excel, Valuation, Analytics",Master's in Finance,Senior,Finance
219,"Scrum, Agile, Project Management",Master's in Business Administration,Mid,Software Project Manager
220,"HTML, CSS, JavaScript, Vue.js",Bachelor's in Information Technology,Mid,Web Developer
221,"Python, Celery, JavaScript, Git, Flask, PostgreSQL",Bachelor's in Computer Science,Mid,Full Stack Python Developer
222,"Solidity, Web3, Ethereum, JavaScript",Bachelor's in Computer Science,Mid,Blockchain Developer
223,"Swift, Mobile Development",Bachelor's in Software Engineering,Mid,Mobile Developer
224,"Research, Deep Learning, Python, Reinforcement Learning",Master's in Data Science,Senior,AIML
225,"JavaScript, Java, Microservices, Git, REST APIs, Hibernate",Master's in Software Engineering,Mid,Full Stack Java Developer
226,"Analytics, Excel, Forecasting, Valuation, Financial Modeling",Bachelor's in Finance,Senior,Finance
227,"Marketing Campaigns, Social Media, Analytics",Bachelor's in Marketing,Mid,Marketing
228,"HR Management, Recruitment, Employee Relations",Master's in Human Resources,Senior,HR
229,"PHP, Laravel, MySQL, JavaScript",Bachelor's in Information Technology,Entry,PHP Developer
230,"UI/UX Design, Figma, Prototyping, Wireframing",Bachelor's in Design,Mid,Designer
231,"Network Security, Ethical Hacking, SIEM",Master's in Cybersecurity,Senior,Cybersecurity Engineer
232,"SQL, R, Data Visualization, Statistics",Bachelor's in Statistics,Entry,Data Analyst
233,"Financial Modeling, Analytics, Excel, Communication, Leadership, Budgeting",Bachelor's in Finance,Mid,Finance
234,"C++, Unreal Engine, Game Design, Shader Programming",Bachelor's in Game Development,Mid,Game Developer
235,"Creativity, Photoshop, Prototyping, UI/UX Design, Figma, Communication",Bachelor's in Design,Entry,Designer
236,"AWS, Jenkins, Docker, Ansible",Bachelor's in Computer Science,Senior,DevOps Engineer
237,"Java, Kotlin, Android SDK, REST APIs",Bachelor's in Software Engineering,Mid,Mobile Developer
238,"Marketing Strategy, Branding, PPC",Bachelor's in Marketing,Mid,Marketing
239,"Agile, Project Management, Budgeting, Communication, Leadership, Risk Management",Master's in Business Administration,Senior,Software Project Manager
240,"Blazor, Angular, .NET, C#, .NET Core, Git",Bachelor's in Computer Science,Senior,C# Developer
241,"Player Psychology, Storytelling, Game Design, C#, Prototyping, Unity",Bachelor's in Design,Mid,Video Game Designer
242,"Helm, Terraform, CI/CD, Docker, Kubernetes",Bachelor's in Computer Science,Senior,Kubernetes Operations Engineer
243,"AWS, GCP, Prometheus, Docker, Helm, Kubernetes",Bachelor's in Computer Science,Senior,Kubernetes Operations Engineer
244,"Risk Analysis, Forecasting, Excel, Valuation, Financial Modeling",Master's in Finance,Senior,Finance
245,"Scrum, Agile, Project Management",Master's in Business Administration,Mid,Software Project Manager
246,"iOS Development, Mobile Development, UI/UX, Git",Bachelor's in Computer Science,Mid,Mobile Developer
247,"C++, Unity, Game Design, VR",Bachelor's in Game Development,Mid,Game Developer
248,"Research, Deep Learning, Statistics, NLP, PyTorch, Python",Master's in Data Science,Senior,AIML
249,"Kubernetes, Helm, AWS, Docker",Bachelor's in Computer Science,Senior,Kubernetes Operations Engineer
250,"JavaScript, Git, Rust, Solidity, Blockchain",Bachelor's in Computer Science,Entry,Blockchain Developer
251,"Scikit-learn, Keras, Communication, Python, Machine Learning, Data Visualization",Master's in Data Science,Mid,Data Scientist
252,"Flask, SQL, Python, JavaScript",Bachelor's in Computer Science,Entry,Full Stack Python Developer
253,"Git, Django, Flask, REST APIs, Python, JavaScript",Bachelor's in Computer Science,Mid,Full Stack Python Developer
254,"Solidity, Web3, Ethereum, JavaScript",Bachelor's in Computer Science,Mid,Blockchain Developer
255,"SQL Server, C#, .NET, Azure",Bachelor's in Computer Science,Mid,C# Developer
256,"Reinforcement Learning, Communication, Python, Deep Learning, Machine Learning, Statistics",Master's in Computer Science,Senior,AIML
257,"TypeScript, Redux, JavaScript, Git, HTML, CSS, React",Bachelor's in Information Technology,Entry,Frontend Developer
258,"Recruitment, Onboarding, Conflict Resolution, Payroll, HR Policies",Master's in Human Resources,Senior,HR
259,"React, JavaScript, HTML, CSS, Redux",Bachelor's in Computer Science,Mid,Frontend Developer
260,"Budgeting, Excel, Analytics, Communication, Financial Modeling",Master's in Finance,Senior,Finance
261,"Java, Kotlin, Android SDK, REST APIs",Bachelor's in Software Engineering,Mid,Mobile Developer
262,"C++, Unity, Game Design, VR",Bachelor's in Game Development,Mid,Game Developer
263,"Python, Pandas, SQL, Tableau",Master's in Data Science,Entry,Data Analyst
264,"3D Modeling, Storytelling, C#, Balancing, Game Design",Bachelor's in Design,Mid,Video Game Designer
265,"Python, Django, PostgreSQL, JavaScript",Bachelor's in Computer Science,Mid,Full Stack Python Developer
266,"CI/CD, Docker, Kubernetes, Istio, Linux",Bachelor's in Computer Science,Senior,Kubernetes Operations Engineer
267,"C++, Unity, Game Design, VR",Bachelor's in Game Development,Mid,Game Developer
268,"Agile, Project Management, Budgeting, Excel",Master's in Business Administration,Senior,Software Project Manager
269,"Payroll, Employee Relations, HR Policies, Recruitment",Bachelor's in Human Resources,Mid,HR
270,"C#, .NET Core, Azure, SQL Server",Bachelor's in Computer Science,Mid,C# Developer
271,"Kubernetes, Docker, GCP, CI/CD",Bachelor's in Computer Science,Mid,Kubernetes Operations Engineer
272,"Python, Pandas, SQL, Tableau",Master's in Data Science,Entry,Data Analyst
273,"Network Security, Ethical Hacking, SIEM",Master's in Cybersecurity,Senior,Cybersecurity Engineer
274,"Communication, Risk Analysis, Excel, Analytics, Financial Modeling",Master's in Finance,Mid,Finance
275,"Penetration Testing, Firewalls, SIEM",Master's in Cybersecurity,Senior,Cybersecurity Engineer
276,"Hibernate, REST APIs, Java, SQL",Bachelor's in Software Engineering,Mid,Backend Developer
277,"PHP, Symfony, MySQL, JavaScript",Bachelor's in Information Technology,Entry,PHP Developer
278,"C++, Game Physics, Game Design",Bachelor's in Game Development,Mid,Game Developer
279,"PHP, Laravel, MySQL, JavaScript",Bachelor's in Information Technology,Entry,PHP Developer
280,"Java, Spring, React, AWS",Master's in Software Engineering,Senior,Full Stack Java Developer
281,"React, TypeScript, HTML, CSS",Bachelor's in Computer Science,Entry,Frontend Developer
282,"Network Security, Risk Assessment",Bachelor's in Cybersecurity,Mid,Cybersecurity Engineer
283,"C++, Unity, Game Design, VR",Bachelor's in Game Development,Mid,Game Developer
284,"Penetration Testing, Ethical Hacking, Communication, Risk Assessment, Network Security",Bachelor's in Cybersecurity,Mid,Cybersecurity Engineer
